Town,Latitude,Longitude,Distance
Whitakers,36.105534500000005,-77.71278149494381,64.61393196093171
Stoneville,36.4582662,-79.93221213276846,65.02966360215734
Mayodan,36.4123597,-79.9669857,65.64639812696575
Eureka,35.54266,-77.8763717,66.7222221103542
Stantonsburg,35.6068259,-77.8233139,66.95561881230633
Enfield,36.1809865,-77.6666415,67.51514174806712
Eastover,35.099219,-78.78829551256487,67.56095513216033
Kernersville,36.1198589,-80.0736533,67.58877284549145
Saratoga,35.6536691,-77.7756011,67.84439171962745
Halifax,36.2494056,-77.66834,68.05502835965834
Goldsboro,35.3848841,-77.9927651,68.4980422639997
Southern Pines,35.1740471,-79.3922539,68.92343966369363
Taylortown,35.2076564,-79.4858653,69.32678511119681
Thomasville,35.8831786,-80.081817,69.3830651932058
Star,35.4020838,-79.7842049,69.45591331451817
Pinehurst,35.1946235,-79.4679317,69.61043286819732
Fayetteville,35.0525759,-78.878292,70.63413838491446
Macclesfield,35.7521022,-77.6699752,70.76950878798813
Biscoe,35.3600553,-79.7796559,71.25493497975968
Wallburg,36.0101371,-80.1392118,71.39148137800382
Pinetops,35.7884908,-77.6377521,71.735083356262
Leggett,35.9898083,-77.57996,72.32024739815131
Aberdeen,35.131547,-79.4294789,72.47529024832477
Roanoke Rapids,36.4610756,-77.6548026,72.66999571800989
Walnut Cove,36.295415,-80.1417121,72.82590922884316
Candor,35.2951421,-79.7453164,73.12504616077068
Walstonburg,35.5946041,-77.6969203,73.62541792719593
Weldon,36.4214765,-77.61842090482153,73.6568045104485
Foxfire,35.1754312,-79.5714258,73.73400885505897
Stedman,35.0134999,-78.6939063,73.96987246094233
Fountain,35.6740478,-77.6399741,74.2414640889504
Pinebluff,35.1098795,-79.4722589,74.88879528164603
Autryville,34.9979453,-78.6425144,75.46387806263074
Mount Olive,35.1965532,-78.0663788,75.597059634679
Tarboro,35.8968236,-77.5358049,75.6142626354918
Princeville,35.8896014,-77.5321937,75.90043268877757
Salemburg,35.0154469,-78.5030622,76.00716907213456
Troy,35.3584743,-79.8944901,76.10805830379596
Midway,35.9534706,-80.2181043,76.16494429118461
Hope Mills,34.9704419,-78.9453056,76.42104437269923
Denton,35.6334713,-80.1158813,76.48299867745773
Calypso,35.153776,-78.105269,76.74761484733065
Winston-Salem,36.0998131,-80.2440518,77.08461643908304
Walnut Creek,35.3071071,-77.8649817,77.41500132184775
Garysburg,36.450985,-77.5588661,77.4528245435821
Davidson,35.7902384,-80.2115053,77.94506336575456
Faison,35.11647000000001,-78.13665658836999,77.95258193018834
Raeford,34.9809996,-79.2241998,78.20214111507174
Danbury,36.4093047,-80.2058831,78.2147909596596
Norman,35.1705641,-79.7228453,78.91306246546905
Farmville,35.5954381,-77.5852496,79.244385040539
Snow Hill,35.4515504,-77.6810859,79.36980186747411
Lexington,35.8240265,-80.2533838,79.66017091015854
Speed,35.9689505,-77.4436379,80.06190438828148
Roseboro,34.9529475,-78.5086181,80.08682314581998
Falkland,35.6983006,-77.5135397,80.29371207539464
Clinton,34.9979453,-78.3233325,80.45529665234967
Rural Hall,36.2404158,-80.2933838,80.5492701887764
La Grange,35.3068293,-77.7880338,80.63223625196937
Scotland Neck,36.1296002,-77.4202475,81.02272331323071
Conetoe,35.8157136,-77.4558025,81.1355002208815
Parkton,34.9026635,-79.0116971,81.37602578409302
Hoffman,35.032378,-79.5475437,81.5951366395633
Hobgood,36.0295946,-77.3980465,82.30112437111622
Bethania,36.1823602,-80.3381077,82.60857927454016
Lumber Bridge,34.8884971,-79.0722541,82.75612040434739
Tobaccoville,36.2261575,-80.34160419719514,83.09978616405037
Badin,35.4059744,-80.1167203,84.11649018981534
Turkey,34.9923888,-78.183049,84.12490898166857
Seaboard,36.4901519,-77.4413634,84.52051325606995
Hookerton,35.4251622,-77.5883039,84.75495764377627
King,36.275246,-80.36568613272892,84.88884318543958
Clemmons,36.0215258,-80.3819984,84.91675237875839
Bethel,35.8071029,-77.3788558,85.47859213449726
Ellerbe,35.0712608,-79.7614395,85.71440601500547
Vienna,36.1376379,-80.4019988,85.98837336566451
Warsaw,34.9993329,-78.091101,86.2069221656658
Wagram,34.8879397,-79.3661515,86.67922420510627
Lewisville,36.0970819,-80.4192216,86.88378876028416
Bermuda Run,36.0037477,-80.4219996,87.22637174904686
Mount Gilead,35.2148671,-80.0022784,87.26755094942342
Oak City,35.9637687,-77.3080209,87.66124306291756
New London,35.4431965,-80.2192225,87.66213915468161
St. Pauls,34.8070226,-78.9707787,87.75423217600974
Rennert,34.8143301,-79.0808661,87.8874319950141
Richfield,35.4701406,-80.2578343,88.64625538637054
Lenoir,35.2590371,-77.6484879,88.76420839467748
Red Springs,34.815158,-79.1837649,88.81492906301943
Parmele,35.8165476,-77.3141317,88.88479355152262
Lasker,36.3503041,-77.305728,89.2377299379508
Rich Square,36.2737186,-77.2845336,89.48697666889356
Misenheimer,35.4848625,-80.2883904,89.69027296450976
Hassell,35.907936,-77.2785755,89.75380423677576
Greenville,35.613224,-77.3724593,89.77699594159978
Albemarle,35.3501426,-80.2000578,90.16925291303822
Winterville,35.5290511,-77.4010762,90.58115121771426
Roxobel,36.2029338,-77.2452433,91.10523758594184
