Town,Latitude,Longitude,Distance
Black Mountain,35.612202499999995,-82.33168739828443,197.10741282236253
Beech Mountain,36.0162211,-82.4062455,198.20936281521315
Tryon,35.2081695,-82.2384479,198.95918711967363
Fairview,35.52218955,-82.39268284316401,201.6803660043742
Saluda,35.2382805,-82.34565685952055,204.0869416166541
Mars Hill,35.8263793,-82.5486848,207.10842109973063
Hendersonville,35.3187279,-82.4609528,208.7609217438948
Weaverville,35.6967238,-82.5603625,208.8617315234627
Biltmore Forest,35.5337246,-82.5284561,209.0129538243542
Fletcher,35.4306712,-82.5012316,209.0366092188013
Asheville,35.6009498,-82.5540161,209.56386917835516
Woodfin,35.633444,-82.5820725,210.74072419047616
Mills River,35.3963951,-82.5734951,213.5555371389029
Marshall,35.7974807,-82.6839313,214.87161937213995
Madison,35.8482034,-82.6931063,215.0308934907681
Cedar Rock,35.1798384,-82.6340135,220.8599767872348
Seven Springs,35.2462256,-82.6834572,222.2243488485038
Hot Springs,35.8923253,-82.8290318,222.3718684704452
Brevard,35.2334472,-82.7342919,225.2309459750273
Canton,35.5328838,-82.8373558,226.10932040591507
Clyde,35.5334379,-82.910691,230.1640534502096
Rosman,35.1436895,-82.8220186,231.76275845092147
Waynesville,35.4887476,-82.9888725,235.07204906707975
Maggie Valley,35.5181575,-83.0976419,240.7159426969029
Jackson,35.2962391,-83.1388055,246.21139469476836
Forest Hills,35.297322,-83.1934785,249.1945396055146
Sylva,35.3737111,-83.2259803,249.7905035947825
Webster,35.346211,-83.2193132,249.83932012856656
Dillsboro,35.3700615,-83.2506638,251.2057378745572
Highlands,35.0525909,-83.1968173,253.9040444189356
Bryson City,35.4309291,-83.447381,261.2168684458449
Macon,35.1436639,-83.3977297,263.04677579384054
Robbinsville,35.3227597,-83.8069988,282.6066343715076
Lake Santeetlah,35.364846,-83.8620868,285.0650778369168
Andrews,35.2017495,-83.8240676,285.4018573948801
Hayesville,35.0462349,-83.817935,287.78398665853643
Murphy,35.0875836,-84.0346315,298.8886767569605
