,Town,Latitude,Longitude,Distance
323,Montreat,35.6442841,-82.3028972,195.1246223264069
324,Mooresboro,35.2987362,-81.6989863,168.07890693675395
325,Mooresville,35.5848596,-80.8100724,114.25248275196114
326,Morehead City,34.7229391,-76.7260436,152.6952365692137
327,Morganton,35.7454291,-81.6870837,159.81663388287419
328,Morrisville,35.824341,-78.8300321,17.54759972147228
329,Morven,34.8640437,-80.0011724,105.28697524794913
330,Mount Airy,36.4993297,-80.6071609,101.40998831854735
331,Mount Gilead,35.2148671,-80.0022784,87.26755094942342
332,Mount Holly,35.2976298,-81.0161686,132.2885707872495
333,Mount Olive,35.1965532,-78.0663788,75.597059634679
334,Mount Pleasant,35.399308,-80.4358963,99.80576910280296
335,Murfreesboro,36.4423754,-77.0985753,101.90411081571742
336,Murphy,35.0875836,-84.0346315,298.8886767569605
337,Nags Head,35.9573923,-75.624062,181.8192540571633
338,Nashville,35.974598,-77.9655406,50.97372458071741
339,Navassa,34.2554474,-78.0074906,134.67073829519538
340,New Bern,35.1084931,-77.0441143,122.4495642569733
341,New London,35.4431965,-80.2192225,87.66213915468161
342,Newland,36.0873484,-81.9273363,171.27803866742443
343,Newport,34.7865497,-76.8591057,144.04128710239735
344,Newton,35.6630887,-81.2219363,135.20104123420754
345,Newton Grove,35.2454313,-78.3543933,64.17848972669846
346,Norlina,36.4456097,-78.1982132,45.1644671200793
347,Norman,35.1705641,-79.7228453,78.91306246546905
348,North Topsail Beach,34.4901665,-77.43163,136.1963456679248
349,North Wilkesboro,36.1584651,-81.1475841,127.70619940033363
350,Northwest,34.3129464,-78.1611077,128.00423459062287
351,Norwood,35.2195898,-80.1189477,91.97151775956478
352,Oak City,35.9637687,-77.3080209,87.66124306291756
353,Oak Island,33.9046184,-78.0827699,156.2241712159366
354,Oak Ridge,36.1736211,-79.9892172,63.13029068615274
355,Oakboro,35.2257007,-80.3289521,101.06125379163474
356,Ocean Isle Beach,33.8943393,-78.426672,152.5257293725037
357,Old Fort,35.6290093,-82.1806697,188.53666811301488
358,Oriental,35.0312553,-76.6926676,142.13175478514015
359,Orrum,34.4658861,-79.0090289,111.36349936152347
360,Ossipee,36.1720794,-79.5105794,36.596719803342694
361,Oxford,36.3107004,-78.5908345,22.304421433783602
362,Pantego,35.5890535,-76.6621569,128.2684692088705
363,Parkton,34.9026635,-79.0116971,81.37602578409302
364,Parmele,35.8165476,-77.3141317,88.88479355152262
365,Patterson Springs,35.235407,-81.5145344,159.87040424071188
366,Peachland,34.993766,-80.2645069,108.53655941787173
367,Peletier,34.730404,-77.0844229,136.89419299109517
368,Pembroke,34.6801627,-79.1950373,98.06888637639769
369,Pikeville,35.497105,-77.9819312,63.798050308278484
370,Pilot Mountain,36.3401384,-80.4742242,91.62514547267989
371,Pine Knoll Shores,34.6973838,-76.8132697,149.9550596554585
372,Pine Level,35.5122519,-78.2445838,52.32868071568912
373,Pinebluff,35.1098795,-79.4722589,74.88879528164603
374,Pinehurst,35.1946235,-79.4679317,69.61043286819732
375,Pinetops,35.7884908,-77.6377521,71.735083356262
376,Pineville,35.0855409,-80.8871253,132.73026700356246
377,Pink Hill,35.0551639,-77.7463653,94.59059738526062
378,Pittsboro,35.7201229,-79.1771539,30.143156059910165
379,Pleasant Garden,35.9621197,-79.762131,50.76589250988171
380,Plymouth,35.8668281,-76.7485555,119.60127721805544
381,Polkton,35.0076546,-80.2008947,105.28719570128625
382,Polkville,35.4176278,-81.6428725,162.5016164608037
383,Pollocksville,35.0059914,-77.2210654,118.54233907950035
384,Powellsville,36.225712,-76.9330114,108.62101673918241
385,Princeton,35.4659942,-78.1605497,57.87919581414319
386,Princeville,35.8896014,-77.5321937,75.90043268877757
387,Proctorville,34.4766061,-79.0363154,110.74918886326607
388,Raeford,34.9809996,-79.2241998,78.20214111507174
389,Raleigh,35.7803977,-78.6390989,24.115902991815933
390,Ramseur,35.7334711,-79.6525267,50.03190334777064
391,Randleman,35.8179143,-79.8030873,55.44324117160263
392,Ranlo,35.2862489,-81.130355,138.49665675319392
393,Raynham,34.5766268,-79.1897486,105.03562998044593
394,Red Cross,35.2673659,-80.3556188,100.64769349829298
395,Red Oak,36.0385169,-77.9062762,53.844752093542894
396,Red Springs,34.815158,-79.1837649,88.81492906301943
397,Reidsville,36.3548586,-79.6644748,48.50378500856749
398,Rennert,34.8143301,-79.0808661,87.8874319950141
399,Rhodhiss,35.767472999999995,-81.4318466318295,145.4135205674262
400,Rich Square,36.2737186,-77.2845336,89.48697666889356
401,Richfield,35.4701406,-80.2578343,88.64625538637054
402,Richlands,34.8993298,-77.5466343,110.15344112162971
403,River Bend,35.0690481,-77.146896,119.22443555408103
404,Roanoke Rapids,36.4610756,-77.6548026,72.66999571800989
405,Robbins,35.434034,-79.5869735,60.02530134556923
406,Robbinsville,35.3227597,-83.8069988,282.6066343715076
407,Robersonville,35.8251589,-77.2491298,92.3382616247386
408,Rockingham,36.3926798,-79.744144,53.616012742226175
409,Rockwell,35.5512508,-80.4064485,93.74757499455488
410,Rocky Mount,35.9423833,-77.7956949,60.720613704926365
411,Rolesville,35.9232862,-78.4573914,25.274159126904216
412,Ronda,36.218467,-80.9411859,116.40202745836599
413,Roper,35.8779766,-76.6151847,126.92945949553183
414,Rose Hill,34.8282235,-78.0230417,98.37842005639632
415,Roseboro,34.9529475,-78.5086181,80.08682314581998
416,Rosman,35.1436895,-82.8220186,231.76275845092147
417,Rowland,34.5365518,-79.2914306,108.87799072615137
418,Roxboro,36.3937519,-78.9827881,22.773726431881045
419,Roxobel,36.2029338,-77.2452433,91.10523758594185
420,Rural Hall,36.2404158,-80.2933838,80.5492701887764
421,Ruth,35.3820659,-81.9470489,179.65170357292246
422,Rutherford College,35.7501398,-81.5247859,150.76064554259048
423,Rutherfordton,35.3692877,-81.9567716,180.42798947616765
424,Salemburg,35.0154469,-78.5030622,76.00716907213456
425,Salisbury,35.6709727,-80.4742261,94.4387047047586
426,Saluda,35.2382805,-82.34565685952055,204.08694161665406
427,Sandy Creek,36.286192,-78.310408,34.284340740078065
428,Sandyfield,34.3765573,-78.2969455,121.58220087563633
429,Sanford,35.4798757,-79.1802994,44.78071942547582
430,Saratoga,35.6536691,-77.7756011,67.84439171962745
431,Sawmills,35.8245638,-81.4741107,147.1890522508363
432,Scotland Neck,36.1296002,-77.4202475,81.02272331323071
433,Seaboard,36.4901519,-77.4413634,84.52051325606995
434,Seagrove,35.5408425,-79.7778859,63.120976364936894
435,Sedalia,36.0673577,-79.6205812,42.19224845289235
436,Selma,35.5365485,-78.2844435,49.586372950672136
437,Seven Devils,36.1559724,-81.7996604,164.1505555110361
438,Seven Springs,35.2462256,-82.6834572,222.2243488485038
439,Severn,36.5151521,-77.1896894,98.36354018367113
440,Shallotte,33.9732275,-78.3858371,147.57289602652128
441,Sharpsburg,35.8671926,-77.8276196,60.016201494850435
442,Shelby,35.2923513,-81.5356463,159.55494853649049
443,Siler City,35.7234734,-79.4622431,41.34841746316235
444,Simpson,35.5751619,-77.278573,95.65757758204394
445,Sims,35.76074,-78.0594124,50.26365915403918
446,Smithfield,35.5085531,-78.33936,49.13689762194666
447,Snow Hill,35.4515504,-77.6810859,79.36980186747411
