Town,Latitude,Longitude,Distance,Manhattan_Distance
Black Creek,35.6352337,-77.9329872,60.62582077,1.3757524
Rocky Mount,35.9423833,-77.7956949,60.7206137,1.2058951
Vass,35.2562684,-79.2822491,61.22404061,1.2361712
Fremont,35.5454378,-77.9747087,62.07904462,1.4238268
Falcon,35.1898868,-78.6483498,62.38991716,1.1057367
Archdale,35.914581,-79.9719831,62.92129533,1.2675926
Spring Lake,35.1679396,-78.9728056,62.96134645,1.0150565
Seagrove,35.5408425,-79.7778859,63.12097636,1.4472339
Oak Ridge,36.1736211,-79.9892172,63.13029069,1.218865
Stokesdale,36.2372048,-79.9793529,63.17368741,1.2725844
Whispering Pines,35.2557123,-79.3722503,63.36403687,1.3267285
Wade,35.1629419,-78.7361323,63.45134513,1.0448991
Pikeville,35.497105,-77.9819312,63.79805031,1.4649371
Newton Grove,35.2454313,-78.3543933,64.17848973,1.3441487
Trinity,35.8947375,-79.9909647,64.22953629,1.3064177
High Point,35.9556924,-80.0053176,64.31377162,1.2598157
Whitakers,36.1055345,-77.71278149,64.61393196,1.182562505
Stoneville,36.4582662,-79.93221213,65.0296636,1.446505033
Mayodan,36.4123597,-79.9669857,65.64639813,1.4353721
Eureka,35.54266,-77.8763717,66.72222211,1.5249416
Stantonsburg,35.6068259,-77.8233139,66.95561881,1.5138335
Enfield,36.1809865,-77.6666415,67.51514175,1.3041545
Eastover,35.099219,-78.78829551,67.56095513,1.056458787
Kernersville,36.1198589,-80.0736533,67.58877285,1.2495389
Saratoga,35.6536691,-77.7756011,67.84439172,1.5147031
Halifax,36.2494056,-77.66834,68.05502836,1.3708751
Goldsboro,35.3848841,-77.9927651,68.49804226,1.5663241
Southern Pines,35.1740471,-79.3922539,68.92343966,1.4283973
Taylortown,35.2076564,-79.4858653,69.32678511,1.4883994
Thomasville,35.8831786,-80.081817,69.38306519,1.4088289
Star,35.4020838,-79.7842049,69.45591331,1.5923116
Pinehurst,35.1946235,-79.4679317,69.61043287,1.4834987
Fayetteville,35.0525759,-78.878292,70.63413838,1.0359066
Macclesfield,35.7521022,-77.6699752,70.76950879,1.5218959
Biscoe,35.3600553,-79.7796559,71.25493498,1.6297911
Wallburg,36.0101371,-80.1392118,71.39148138,1.3392652
Pinetops,35.7884908,-77.6377521,71.73508336,1.5177304
Leggett,35.9898083,-77.57996,72.3202474,1.374205
Aberdeen,35.131547,-79.4294789,72.47529025,1.5081224
Roanoke Rapids,36.4610756,-77.6548026,72.66999572,1.5960825
Walnut Cove,36.295415,-80.1417121,72.82590923,1.4931538
Candor,35.2951421,-79.7453164,73.12504616,1.6603648
Walstonburg,35.5946041,-77.6969203,73.62541793,1.6524489
Weldon,36.4214765,-77.6184209,73.65680451,1.592865095
Foxfire,35.1754312,-79.5714258,73.73400886,1.6061851
Stedman,35.0134999,-78.6939063,73.96987246,1.2365671
Fountain,35.6740478,-77.6399741,74.24146409,1.6299514
Pinebluff,35.1098795,-79.4722589,74.88879528,1.5725699
Autryville,34.9979453,-78.6425144,75.46387806,1.3035136
Mount Olive,35.1965532,-78.0663788,75.59705963,1.6810413
Tarboro,35.8968236,-77.5358049,75.61426264,1.5113448
Princeville,35.8896014,-77.5321937,75.90043269,1.5221782
Salemburg,35.0154469,-78.5030622,76.00716907,1.4254642
Troy,35.3584743,-79.8944901,76.1080583,1.7462063
Midway,35.9534706,-80.2181043,76.16494429,1.4748242
Hope Mills,34.9704419,-78.9453056,76.42104437,1.1850542
Denton,35.6334713,-80.1158813,76.48299868,1.6926005
Calypso,35.153776,-78.105269,76.74761485,1.6849283
Winston-Salem,36.0998131,-80.2440518,77.08461644,1.3998916
Walnut Creek,35.3071071,-77.8649817,77.41500132,1.7718845
Garysburg,36.450985,-77.5588661,77.45282454,1.6819284
Davidson,35.7902384,-80.2115053,77.94506337,1.6314574
Faison,35.11647,-78.13665659,77.95258193,1.690846712
Raeford,34.9809996,-79.2241998,78.20214112,1.4533907
Danbury,36.4093047,-80.2058831,78.21479096,1.6712145
Norman,35.1705641,-79.7228453,78.91306247,1.7624717
Farmville,35.5954381,-77.5852496,79.24438504,1.7632856
Snow Hill,35.4515504,-77.6810859,79.36980187,1.811337
Lexington,35.8240265,-80.2533838,79.66017091,1.6395478
Speed,35.9689505,-77.4436379,80.06190439,1.5313849
Roseboro,34.9529475,-78.5086181,80.08682315,1.4824077
Falkland,35.6983006,-77.5135397,80.29371208,1.732133
Clinton,34.9979453,-78.3233325,80.45529665,1.6226955
Rural Hall,36.2404158,-80.2933838,80.54927019,1.5898263
La Grange,35.3068293,-77.7880338,80.63223625,1.8491102
Scotland Neck,36.1296002,-77.4202475,81.02272331,1.4991622
Conetoe,35.8157136,-77.4558025,81.13550022,1.6724572
Parkton,34.9026635,-79.0116971,81.37602578,1.3192241
Hoffman,35.032378,-79.5475437,81.59513664,1.7253562
Hobgood,36.0295946,-77.3980465,82.30112437,1.5163322
Bethania,36.1823602,-80.3381077,82.60857927,1.5764946
Lumber Bridge,34.8884971,-79.0722541,82.7561204,1.3939475
Tobaccoville,36.2261575,-80.3416042,83.09978616,1.623788397
Badin,35.4059744,-80.1167203,84.11649019,1.9209364
Turkey,34.9923888,-78.183049,84.12490898,1.7685355
Seaboard,36.4901519,-77.4413634,84.52051326,1.838598
Hookerton,35.4251622,-77.5883039,84.75495764,1.9305072
King,36.275246,-80.36568613,84.88884319,1.696958833
Clemmons,36.0215258,-80.3819984,84.91675238,1.5706631
Bethel,35.8071029,-77.3788558,85.47859213,1.7580146
Ellerbe,35.0712608,-79.7614395,85.71440602,1.9003692
Vienna,36.1376379,-80.4019988,85.98837337,1.5956634
Warsaw,34.9993329,-78.091101,86.20692217,1.8535394
Wagram,34.8879397,-79.3661515,86.67922421,1.6884023
Lewisville,36.0970819,-80.4192216,86.88378876,1.5723302
Bermuda Run,36.0037477,-80.4219996,87.22637175,1.6284424
Mount Gilead,35.2148671,-80.0022784,87.26755095,1.9976018
Oak City,35.9637687,-77.3080209,87.66124306,1.6721837
New London,35.4431965,-80.2192225,87.66213915,1.9862165
St. Pauls,34.8070226,-78.9707787,87.75423218,1.3739466
Rennert,34.8143301,-79.0808661,87.887432,1.4767265
Richfield,35.4701406,-80.2578343,88.64625539,1.9978842
Lenoir,35.2590371,-77.6484879,88.76420839,2.0364483
Red Springs,34.815158,-79.1837649,88.81492906,1.5787974
Parmele,35.8165476,-77.3141317,88.88479355,1.813294
Lasker,36.3503041,-77.305728,89.23772994,1.8343856
Rich Square,36.2737186,-77.2845336,89.48697667,1.7789945
Misenheimer,35.4848625,-80.2883904,89.69027296,2.0137184
Hassell,35.907936,-77.2785755,89.75380424,1.7574618
Greenville,35.613224,-77.3724593,89.77699594,1.95829
Albemarle,35.3501426,-80.2000578,90.16925291,2.0601057
Winterville,35.5290511,-77.4010762,90.58115122,2.013846
Roxobel,36.2029338,-77.2452433,91.10523759,1.7475
Kinston,35.2626635,-77.5816353,91.54470954,2.0996745
Ayden,35.4726626,-77.4155203,91.57283776,2.0557904
Pilot Mountain,36.3401384,-80.4742242,91.62514547,1.8703893
Spencer,35.6920144,-80.4347596,91.88543143,1.9529357
East Spencer,35.6818059,-80.4322801,91.96373764,1.9606647
Norwood,35.2195898,-80.1189477,91.97151776,2.1095484
Kelford,36.1796007,-77.2235757,92.18780947,1.7458345
Kenansville,34.9623883,-77.9622069,92.22516148,2.0193781
Robersonville,35.8251589,-77.2491298,92.33826162,1.8696846
East Bend,36.216528,-80.512558,92.52720848,1.7851127
Tar Heel,34.7331708,-78.7904075,92.74961729,1.420395
Garland,34.785863,-78.39528951,92.90865424,1.762820792
