Town,Latitude,Longitude,Distance,Manhattan_Distance
Varnamtown,33.9357283,-78.2486091,151.7222584,2.7596359
Waco,35.36172,-81.428486,152.2248452,3.2769565
Ocean Isle Beach,33.8943393,-78.426672,152.5257294,2.622962
Holden Beach,33.9135061,-78.3038892,152.5267885,2.726578
Morehead City,34.7229391,-76.7260436,152.6952366,3.4949906
Sunset Beach,33.880728,-78.512231,152.7367792,2.5510143
Valdese,35.7431562,-81.5633738,152.978969,3.0304081
Atlantic Beach,34.6990505,-76.7402108,153.0934112,3.504712
Kure Beach,33.9968399,-77.9072081,153.3763391,3.0399253
Gamewell,35.8692971,-81.5962082,153.6262554,2.9371016
St. James,33.9293402,-78.1163822,154.0521158,2.8982509
Camden,36.3106247,-76.1150606,154.6287316,2.9853736
Fallston,35.4284117,-81.5014757,154.6627304,3.2832545
Belwood,35.477076,-81.523424,154.8708636,3.2565385
Drexel,35.7579081,-81.6042614,155.0847082,3.0565438
Southport,33.921563,-78.0202677,156.1570277,3.0021426
Oak Island,33.9046184,-78.0827699,156.2241712,2.956585
Boone,36.2165362,-81.6746158,157.2995983,2.9471787
Caswell Beach,33.8960076,-78.051102,157.312841,2.9968637
Blowing Rock,36.1350245,-81.6777907,157.3150828,2.8688419
Grover,35.1745756,-81.4498097,158.1360912,3.4854246
Lawndale,35.4140187,-81.5631474,158.2801362,3.3593192
Casar,35.5123517,-81.6173159,159.3154311,3.3151547
Shelby,35.2923513,-81.5356463,159.5549485,3.4534855
Morganton,35.7454291,-81.6870837,159.8166339,3.1518451
Patterson Springs,35.235407,-81.5145344,159.8704042,3.4893179
Bald Head Island,33.8598511,-77.9895326,160.7463528,3.0945896
Zionville,36.3348472,-81.7431667,161.6970563,3.1340406
Earl,35.1934623,-81.5331467,161.9482273,3.5498749
Kingstown,35.3512389,-81.612316,162.2672807,3.4712676
Polkville,35.4176278,-81.6428725,162.5016165,3.4354352
Seven Devils,36.1559724,-81.7996604,164.1505555,3.0116595
Glen Alpine,35.7290168,-81.7792661,165.1121431,3.2604398
Lattimore,35.3181818,-81.6606513,165.5909241,3.55266
Grandfather,36.0990163,-81.8476114,166.8096849,3.0026544
Boiling Springs,35.254292,-81.6670407,167.4314338,3.6229392
Mooresboro,35.2987362,-81.6989863,168.0789069,3.6104406
Banner Elk,36.1631818,-81.8715019,168.1760573,3.0907104
Sugar Mountain,36.124571,-81.8756682,168.3773514,3.0562659
Ellenboro,35.3287949,-81.7587106,170.5984709,3.6401062
Newland,36.0873484,-81.9273363,171.2780387,3.0707114
Crossnore,36.0217938,-81.9295579,171.5143715,3.1179546
Bostic,35.362623,-81.835657,174.0194095,3.6832245
Duck,36.1700137,-75.7559261,174.1303837,3.2038971
Elk Park,36.1573464,-81.9781722,174.1320562,3.1915453
Southern Shores,36.1390533,-75.7315719,175.4610857,3.1972909
Forest City,35.3340108,-81.8651028,176.199705,3.7412825
Kitty Hawk,36.0664318,-75.6935448,177.6195625,3.1839967
Marion,35.6841022,-82.0091028,178.3690848,3.5351911
Kill Devil Hills,36.0321186,-75.6776147,178.5752679,3.23424
Spindale,35.3601212,-81.929271,179.1229855,3.7793403
Manteo,35.9082257,-75.6757303,179.1722404,3.3600173
Spruce Pine,35.9147787,-82.066411,179.6034173,3.3618228
Ruth,35.3820659,-81.9470489,179.6517036,3.7751735
Rutherfordton,35.3692877,-81.9567716,180.4279895,3.7976744
Wanchese,35.8426729,-75.6385055,181.6739866,3.4627949
Nags Head,35.9573923,-75.624062,181.8192541,3.362519
Bakersville,36.0156735,-82.1587351,184.3577101,3.3532521
Old Fort,35.6290093,-82.1806697,188.5366681,3.7618509
Burnsville,35.9172243,-82.2996695,192.6341733,3.5926357
Lake Lure,35.4278969,-82.2048343,192.8453715,3.9871279
Montreat,35.6442841,-82.3028972,195.1246223,3.8688036
Chimney Rock,35.4327295,-82.2503096,195.2501545,4.0277706
Walkertown,35.6534497,-82.3390098,197.0217604,3.8957506
Black Mountain,35.6122025,-82.3316874,197.1074128,3.929675398
Beech Mountain,36.0162211,-82.4062455,198.2093628,3.6002149
Tryon,35.2081695,-82.2384479,198.9591871,4.2404689
Fairview,35.52218955,-82.39268284,201.680366,4.080683793
Saluda,35.2382805,-82.34565686,204.0869416,4.31756686
Mars Hill,35.8263793,-82.5486848,207.1084211,3.932496
Hendersonville,35.3187279,-82.4609528,208.7609217,4.3524154
Weaverville,35.6967238,-82.5603625,208.8617315,4.0738292
Biltmore Forest,35.5337246,-82.5284561,209.0129538,4.204922
Fletcher,35.4306712,-82.5012316,209.0366092,4.2807509
Asheville,35.6009498,-82.5540161,209.5638692,4.1632568
Woodfin,35.633444,-82.5820725,210.7407242,4.158819
Mills River,35.3963951,-82.5734951,213.5555371,4.3872905
Marshall,35.7974807,-82.6839313,214.8716194,4.0966411
Madison,35.8482034,-82.6931063,215.0308935,4.0550934
Cedar Rock,35.1798384,-82.6340135,220.8599768,4.6643656
Seven Springs,35.2462256,-82.6834572,222.2243488,4.6474221
Hot Springs,35.8923253,-82.8290318,222.3718685,4.146897
Brevard,35.2334472,-82.7342919,225.230946,4.7110352
Canton,35.5328838,-82.8373558,226.1093204,4.5146625
Clyde,35.5334379,-82.910691,230.1640535,4.5874436
Rosman,35.1436895,-82.8220186,231.7627585,4.8885196
Waynesville,35.4887476,-82.9888725,235.0720491,4.7103154
Maggie Valley,35.5181575,-83.0976419,240.7159427,4.7896749
Jackson,35.2962391,-83.1388055,246.2113947,5.0527569
Forest Hills,35.297322,-83.1934785,249.1945396,5.106347
Sylva,35.3737111,-83.2259803,249.7905036,5.0624597
Webster,35.346211,-83.2193132,249.8393201,5.0832927
Dillsboro,35.3700615,-83.2506638,251.2057379,5.0907928
Highlands,35.0525909,-83.1968173,253.9040444,5.3544169
Bryson City,35.4309291,-83.447381,261.2168684,5.2266424
Macon,35.1436639,-83.3977297,263.0467758,5.4642563
Robbinsville,35.3227597,-83.8069988,282.6066344,5.6944296
Lake Santeetlah,35.364846,-83.8620868,285.0650778,5.7074313
Andrews,35.2017495,-83.8240676,285.4018574,5.8325086
Hayesville,35.0462349,-83.817935,287.7839867,5.9818906
Murphy,35.0875836,-84.0346315,298.8886768,6.1572384
