Neck Roll
Shoulder Roll
Behind-head tricep stretch
Standing hip rotation
Standing hamstring stretch
Quadriceps stretch
Standing iliotibial (IT) band stretch
Ankle roll
Side lunge
Cobra stretch 
Supine hamstring stretch
Knee-to-chest stretch
Hip abduction
Childs Pose
